playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.artists,track.album.available_markets,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.637,0.484,9,-8.845,1,0.0237,0.36,0.0000366,0.171,0.786,95.023,6a1whVolhtgOTmxPYBLJDz,https://api.spotify.com/v1/audio-analysis/6a1whVolhtgOTmxPYBLJDz,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,251136,FALSE,FALSE,https://api.spotify.com/v1/tracks/6a1whVolhtgOTmxPYBLJDz,FALSE,Salah,61,https://p.scdn.co/mp3-preview/4e6c6d0dc818f5df325c4d5005d4c306e9a7c4d4?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:6a1whVolhtgOTmxPYBLJDz,single,,,https://api.spotify.com/v1/albums/1JcHdPFHVjYN8QKW2ueQT6,1JcHdPFHVjYN8QKW2ueQT6,,Salah,25-02-22,day,1,album,spotify:album:1JcHdPFHVjYN8QKW2ueQT6,https://open.spotify.com/album/1JcHdPFHVjYN8QKW2ueQT6,IDA032100157,https://open.spotify.com/track/6a1whVolhtgOTmxPYBLJDz,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.386,0.416,4,-10.543,1,0.0306,0.766,0.0000107,0.119,0.345,122.536,3Ysf0Y3iu23mrDsVh1mdu0,https://api.spotify.com/v1/audio-analysis/3Ysf0Y3iu23mrDsVh1mdu0,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,220250,FALSE,FALSE,https://api.spotify.com/v1/tracks/3Ysf0Y3iu23mrDsVh1mdu0,FALSE,Merasa Indah,81,,TRUE,4,track,spotify:track:3Ysf0Y3iu23mrDsVh1mdu0,album,,,https://api.spotify.com/v1/albums/0jxUY7K5FdwJNl3SmnOZOl,0jxUY7K5FdwJNl3SmnOZOl,,Tiara Andini,17-12-21,day,8,album,spotify:album:0jxUY7K5FdwJNl3SmnOZOl,https://open.spotify.com/album/0jxUY7K5FdwJNl3SmnOZOl,IDUM72100488,https://open.spotify.com/track/3Ysf0Y3iu23mrDsVh1mdu0,,E,major,E major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.488,0.405,8,-6.324,0,0.0302,0.503,0.00000686,0.108,0.152,122.049,6pmo9ha8iOPZc5lxPU9o8w,https://api.spotify.com/v1/audio-analysis/6pmo9ha8iOPZc5lxPU9o8w,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,254863,FALSE,FALSE,https://api.spotify.com/v1/tracks/6pmo9ha8iOPZc5lxPU9o8w,FALSE,Sisa Rasa,81,https://p.scdn.co/mp3-preview/9267aade456bc6d599baaae630f9ecefc6d3a2a6?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:6pmo9ha8iOPZc5lxPU9o8w,single,,,https://api.spotify.com/v1/albums/1HWELX1pBJxEArEKKoepuJ,1HWELX1pBJxEArEKKoepuJ,,Sisa Rasa,22-10-21,day,1,album,spotify:album:1HWELX1pBJxEArEKKoepuJ,https://open.spotify.com/album/1HWELX1pBJxEArEKKoepuJ,FRX762160980,https://open.spotify.com/track/6pmo9ha8iOPZc5lxPU9o8w,,G#,minor,G# minor
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.581,0.456,10,-8.738,1,0.0269,0.794,0.00000384,0.123,0.4,123.934,5b0NpyYAwW2dUGL08ir7Bg,https://api.spotify.com/v1/audio-analysis/5b0NpyYAwW2dUGL08ir7Bg,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,270926,FALSE,FALSE,https://api.spotify.com/v1/tracks/5b0NpyYAwW2dUGL08ir7Bg,FALSE,Hingga Tua Bersama,75,https://p.scdn.co/mp3-preview/21cff582643ab9bb3530a47d3819b1e7126cb64c?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:5b0NpyYAwW2dUGL08ir7Bg,single,,,https://api.spotify.com/v1/albums/0pLC2EIZV2q4Ds7L7qbZaR,0pLC2EIZV2q4Ds7L7qbZaR,,Hingga Tua Bersama,12-05-21,day,1,album,spotify:album:0pLC2EIZV2q4Ds7L7qbZaR,https://open.spotify.com/album/0pLC2EIZV2q4Ds7L7qbZaR,QZHN62176083,https://open.spotify.com/track/5b0NpyYAwW2dUGL08ir7Bg,,A#,major,A# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.549,0.51,9,-8.108,1,0.0312,0.226,0,0.111,0.401,126.015,5IpsVW4bsFjOTX1I96KiIJ,https://api.spotify.com/v1/audio-analysis/5IpsVW4bsFjOTX1I96KiIJ,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,280230,FALSE,FALSE,https://api.spotify.com/v1/tracks/5IpsVW4bsFjOTX1I96KiIJ,FALSE,Kebutuhan Hati,70,https://p.scdn.co/mp3-preview/af4eaf61da23490d25cacc1b035e1d86a4323cd2?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,4,track,spotify:track:5IpsVW4bsFjOTX1I96KiIJ,single,,,https://api.spotify.com/v1/albums/7ALmZ2BNyBgrOUAP1ZluAt,7ALmZ2BNyBgrOUAP1ZluAt,,Melancholy,31-12-21,day,5,album,spotify:album:7ALmZ2BNyBgrOUAP1ZluAt,https://open.spotify.com/album/7ALmZ2BNyBgrOUAP1ZluAt,FRS182138744,https://open.spotify.com/track/5IpsVW4bsFjOTX1I96KiIJ,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.504,0.433,10,-9.383,1,0.0348,0.493,0.000557,0.172,0.542,83.902,5VW8Srfc9zInoLTXq8bXUK,https://api.spotify.com/v1/audio-analysis/5VW8Srfc9zInoLTXq8bXUK,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,203000,FALSE,FALSE,https://api.spotify.com/v1/tracks/5VW8Srfc9zInoLTXq8bXUK,FALSE,Ldr,67,https://p.scdn.co/mp3-preview/2999a894d7f5c415a53f50200d93d9358111b248?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,10,track,spotify:track:5VW8Srfc9zInoLTXq8bXUK,album,,,https://api.spotify.com/v1/albums/2s1MfOgZZetupfPMptd49j,2s1MfOgZZetupfPMptd49j,,Sebuah Cerita,28-05-21,day,10,album,spotify:album:2s1MfOgZZetupfPMptd49j,https://open.spotify.com/album/2s1MfOgZZetupfPMptd49j,IDA941900233,https://open.spotify.com/track/5VW8Srfc9zInoLTXq8bXUK,,A#,major,A# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.287,0.299,9,-10.692,1,0.0281,0.489,0.0464,0.126,0.281,81.1,3wFWiWUWoOSIDs6gRnrTge,https://api.spotify.com/v1/audio-analysis/3wFWiWUWoOSIDs6gRnrTge,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,199848,FALSE,FALSE,https://api.spotify.com/v1/tracks/3wFWiWUWoOSIDs6gRnrTge,FALSE,Langit Favorit,57,https://p.scdn.co/mp3-preview/73aa8437acfe63e85fff669710e4aa4eb087e5d5?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:3wFWiWUWoOSIDs6gRnrTge,single,,,https://api.spotify.com/v1/albums/6VuUK4xHGX8fF6aO00wOfI,6VuUK4xHGX8fF6aO00wOfI,,Langit Favorit,14-02-22,day,1,album,spotify:album:6VuUK4xHGX8fF6aO00wOfI,https://open.spotify.com/album/6VuUK4xHGX8fF6aO00wOfI,FR2X42200233,https://open.spotify.com/track/3wFWiWUWoOSIDs6gRnrTge,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.785,0.427,4,-10.247,1,0.0522,0.861,0.000151,0.105,0.693,134,68zHOxA7F3MU6ow3e2LfzL,https://api.spotify.com/v1/audio-analysis/68zHOxA7F3MU6ow3e2LfzL,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,224664,FALSE,FALSE,https://api.spotify.com/v1/tracks/68zHOxA7F3MU6ow3e2LfzL,FALSE,Trust Me With This (Mama),58,https://p.scdn.co/mp3-preview/b333493526a22d8b72ebcdc5dcda045e395279b3?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:68zHOxA7F3MU6ow3e2LfzL,single,,,https://api.spotify.com/v1/albums/1RqwlxPfColbEHt2hsQaZO,1RqwlxPfColbEHt2hsQaZO,,Trust Me With This (Mama),03-03-22,day,1,album,spotify:album:1RqwlxPfColbEHt2hsQaZO,https://open.spotify.com/album/1RqwlxPfColbEHt2hsQaZO,FR2X42222344,https://open.spotify.com/track/68zHOxA7F3MU6ow3e2LfzL,,E,major,E major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.628,0.676,6,-4.227,1,0.0424,0.393,0.0000694,0.0978,0.723,78.996,68HocO7fx9z0MgDU0ZPHro,https://api.spotify.com/v1/audio-analysis/68HocO7fx9z0MgDU0ZPHro,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,215686,FALSE,FALSE,https://api.spotify.com/v1/tracks/68HocO7fx9z0MgDU0ZPHro,FALSE,Every Summertime,89,,TRUE,1,track,spotify:track:68HocO7fx9z0MgDU0ZPHro,single,,,https://api.spotify.com/v1/albums/2HPj0XZe9WduSsyKTQqgVa,2HPj0XZe9WduSsyKTQqgVa,,Every Summertime,10-08-21,day,1,album,spotify:album:2HPj0XZe9WduSsyKTQqgVa,https://open.spotify.com/album/2HPj0XZe9WduSsyKTQqgVa,USUM72114018,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro,,F#,major,F# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.347,0.353,7,-7.8,1,0.0288,0.17,0.000011,0.183,0.0966,78.768,1AKrRZFzULcsitFvxBPWam,https://api.spotify.com/v1/audio-analysis/1AKrRZFzULcsitFvxBPWam,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,309935,FALSE,FALSE,https://api.spotify.com/v1/tracks/1AKrRZFzULcsitFvxBPWam,FALSE,Untukmu,56,https://p.scdn.co/mp3-preview/40bb4d6b8551fc6a6a8578415f66be05471f1174?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,8,track,spotify:track:1AKrRZFzULcsitFvxBPWam,album,,,https://api.spotify.com/v1/albums/2YFUVXbAfRylEW7G4if7gD,2YFUVXbAfRylEW7G4if7gD,,Pun Aku,03-09-21,day,12,album,spotify:album:2YFUVXbAfRylEW7G4if7gD,https://open.spotify.com/album/2YFUVXbAfRylEW7G4if7gD,IDA182132090,https://open.spotify.com/track/1AKrRZFzULcsitFvxBPWam,,G,major,G major
